davidmoten/rxjava-extras,2dff9792,8fcff90a,9230a7c8,1bdcbbf6,56c52485
apache/commons-compress,2ed55677,d8ca982f,40b1d2fb,8cc87c6f,0c4f64c2
apache/commons-io,1e374820,5796c0ca,3816c572,785fa1aa,84484f26
apache/commons-fileupload,3ee89c5,5c1c9d1,f0c1150,10eeaf3,7d065cc
apache/commons-codec,53658793,e42dfe1f,3535c17e
apache/commons-fileupload,3ee89c5,5c1c9d1,f0c1150

=================== Working Projects ===================
apache/commons-codec,53658793,e42dfe1f,3535c17e,9ac33a12,f39003c9
apache/commons-imaging,f2aed4ca,1602ac13,5e5483f1,0aa5c81a,31a07333
google/compile-testing,6bfedd6,9516ade,7573767
vkostyukov/la4j,c24d0df,be84547,dd1b917
JodaOrg/joda-time,27edfff,848e719,806da07,
